12;36
11;36
8;36
6;36
3;35
2;33
30;37
27;38
26;37
24;37
22;37
20;36
18;36
16;36
14;36
26;37
28;37
29;36
32;36
33;37
34;36
33;37
32;37
26;24
27;25
27;26
27;26
27;27
27;29
27;31
27;33
26;35
5;23
3;22
3;20
3;18
3;16
4;14
4;12
4;10
3;8
2;6
2;5
3;6
5;5
7;4
9;5
11;5
13;5
15;4
17;3
19;3
20;4
23;4
25;4
27;3
29;3
31;4
34;4
34;6
34;8
34;9
34;11
33;13
32;14
30;16
29;17
27;18
26;20
26;22
30;36
31;37
31;36
31;36
31;38
30;38
30;38
30;38
30;38
29;38
29;37
28;35
27;34
26;32
26;29
26;27
25;25
23;24
21;24
19;24
18;24
16;24
14;25
12;25
10;25
8;25
6;24
22;14
22;16
22;18
21;20
21;22
22;22
23;23
24;24
26;26
26;27
26;29
27;31
26;33
27;34
29;35
27;36
27;36
26;37
28;38
29;38
29;38
28;38
27;36
28;34
27;35
28;37
30;37
32;36
33;35
35;33
35;31
35;29
35;27
35;25
34;23
34;21
34;19
36;18
36;16
36;14
35;13
35;13
35;11
35;9
35;7
35;5
35;3
35;1
35;1
34;2
11;36
13;36
15;36
17;36
19;36
21;36
22;36
25;37
27;36
28;36
31;36
33;35
35;34
35;32
35;30
34;27
34;25
33;24
33;24
34;23
34;21
33;19
32;18
31;18
31;18
31;18
31;17
30;16
28;16
27;14
26;12
26;10
25;8
25;6
23;4
21;5
22;6
22;8
22;10
22;12
14;5
16;5
18;5
20;4
22;5
24;5
26;6
26;8
27;10
27;12
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;14
27;15
25;16
27;17
27;19
27;20
26;22
24;23
22;23
20;23
18;24
17;24
15;25
13;26
12;26
11;24
10;25
8;25
6;26
4;28
3;30
3;31
4;34
5;36
7;37
7;37
9;36
36;16
35;16
35;17
35;19
35;21
35;23
35;24
35;26
35;28
35;30
35;32
35;35
34;36
32;36
29;36
27;36
26;35
23;37
22;38
22;38
23;37
22;37
20;37
17;36
16;37
15;37
15;37
15;37
15;37
15;37
15;37
14;37
12;37
10;37
9;36
8;36
7;36
6;37
4;36
3;34
3;32
3;30
3;29
33;38
31;39
31;41
29;41
27;42
25;42
22;42
20;41
17;42
15;42
13;42
10;42
9;41
9;39
32;34
30;34
29;34
27;34
25;33
23;33
22;32
23;34
22;34
22;32
22;30
22;28
21;26
22;23
21;21
22;20
24;19
26;19
28;19
29;17
29;15
27;13
28;12
30;12
32;12
34;11
36;11
37;11
39;11
41;12
41;14
41;17
41;19
41;22
41;25
41;27
41;30
40;32
38;32
36;32
35;34
34;36
33;37
24;36
26;35
25;34
24;33
23;32
22;30
21;28
22;25
22;23
22;21
23;20
25;19
27;18
28;17
29;15
29;14
29;12
28;13
30;12
31;12
33;11
35;11
37;10
39;11
41;11
42;13
42;15
42;18
43;21
42;23
42;26
41;28
41;30
40;33
38;33
36;34
34;34
40;12
41;13
42;15
42;17
40;18
40;20
42;21
42;24
41;26
42;29
41;32
41;34
41;36
41;38
40;41
38;42
37;41
38;41
37;42
35;43
33;42
30;43
28;43
26;43
23;43
21;41
21;39
21;37
21;35
22;37
32;41
30;43
28;43
26;43
23;43
21;42
19;42
17;42
15;42
13;41
11;41
10;40
8;39
8;37
8;35
7;33
8;30
9;28
7;27
8;26
9;24
9;23
7;22
8;20
9;17
7;15
7;14
8;12
10;10
12;10
13;10
15;10
17;10
19;10
21;10
24;10
26;10
29;11
31;12
33;11
35;11
37;11
38;11
25;11
23;10
21;10
19;10
17;10
15;11
13;11
12;11
10;12
8;13
8;15
7;17
7;19
8;21
8;23
8;25
8;26
9;24
11;24
13;24
15;23
18;23
20;24
22;23
24;23
25;25
27;24
29;24
31;25
33;24
34;24
36;23
39;23
40;24
40;26
41;29
40;31
41;34
42;36
41;38
40;39
39;39
38;42
36;42
34;42
19;36
20;36
22;36
24;35
26;34
27;34
28;32
29;33
31;35
31;37
31;39
31;41
33;40
35;41
37;42
40;41
40;39
41;37
41;34
41;32
40;30
40;28
40;26
40;24
39;22
39;20
37;19
35;20
32;20
31;18
31;16
31;14
31;13
32;12
30;11
28;11
26;11
41;27
41;25
42;23
43;21
41;19
41;16
42;13
41;11
39;10
37;10
35;9
32;9
30;11
29;14
30;15
30;16
30;15
29;14
27;13
25;11
23;10
22;11
20;10
18;11
16;11
14;11
12;10
9;11
9;12
8;14
9;16
10;18
8;19
9;21
8;23
10;24
10;27
9;29
9;30
9;32
9;34
9;36
9;38
10;39
11;42
13;42
14;42
17;41
19;41
19;39
19;38
22;22
22;22
22;22
21;21
19;20
18;19
16;18
14;18
12;17
11;18
9;19
7;21
7;22
9;23
9;25
9;27
8;29
8;30
8;30
9;32
9;33
8;35
7;37
8;39
9;41
11;42
13;42
16;41
18;40
19;39
19;37
21;35
23;35
24;35
27;34
29;34
30;36
31;37
30;40
30;42
28;42
26;42
24;42
22;41
21;38
21;36
23;36
25;35
27;34
29;34
30;35
33;35
35;35
37;35
